nct_id,phases,enrollment,enrollment_type,start_date,primary_completion_date,sponsor_class,n_conditions,n_sites,n_countries
NCT05377619,PHASE1|PHASE2,1,ACTUAL,2022-01-06,2022-03-06,OTHER,1,1,1
NCT00612430,PHASE2,59,ACTUAL,2007-03,2008-09,OTHER,2,1,1
NCT01820754,PHASE2,24,ACTUAL,2013-03,2018-04-30,OTHER,1,1,1
NCT00063154,PHASE2,51,ACTUAL,2003-07,2005-04,INDUSTRY,1,8,1
NCT01101841,PHASE3,570,ACTUAL,2010-03,2011-09,INDUSTRY,1,32,1
NCT04280705,PHASE3,1062,ACTUAL,2020-02-21,2020-05-21,NIH,1,60,10
NCT01534494,PHASE2,10,ACTUAL,2012-01,2013-09,OTHER,1,1,1
NCT01096966,PHASE2,263,ACTUAL,2010-03,2011-02,INDUSTRY,1,21,1
NCT01272466,PHASE1|PHASE2,40,ACTUAL,2010-02,2012-02,OTHER,1,1,1
NCT04526951,PHASE3,81,ACTUAL,2020-10-30,2025-06-20,OTHER,1,18,6
NCT02119429,PHASE2,50,ACTUAL,2014-04,2015-05,OTHER,1,1,1
NCT06391931,PHASE3,190,ACTUAL,2024-04-07,2024-11-06,INDUSTRY,1,1,1
NCT01584531,PHASE2,82,ACTUAL,2012-05,2015-05,INDUSTRY,3,5,1
NCT02208037,PHASE2,279,ACTUAL,2014-08,2017-10,NIH,9,30,1
NCT00857545,PHASE2,171,ACTUAL,2010-07,2015-09,NETWORK,24,46,1
NCT01512745,PHASE3,267,ACTUAL,2011-01,2013-05,INDUSTRY,1,2,1
NCT00079872,PHASE2,120,,2004-02,,INDUSTRY,1,6,5
NCT01060072,PHASE3,407,ACTUAL,2010-02,2010-09,INDUSTRY,2,1,1
NCT02132195,PHASE3,31,ACTUAL,2014-05,2018-01,OTHER,1,16,1
NCT03664739,PHASE3,608,ACTUAL,2018-12-05,2020-03-23,INDUSTRY,1,30,2
NCT02607839,PHASE2,10,ACTUAL,2013-02,2015-04,OTHER,1,1,1
NCT02582177,PHASE3,125,ACTUAL,2019-06-11,2020-01-20,INDUSTRY,1,9,1
NCT03592277,PHASE2,120,ACTUAL,2018-09-14,2021-02-22,OTHER,2,1,1
NCT03744975,PHASE2,72,ACTUAL,2018-05-01,2025-08-27,OTHER,2,1,1
NCT03921775,PHASE3,330,ACTUAL,2019-05-13,2019-12-30,INDUSTRY,1,1,1
NCT00103857,PHASE3,1208,ACTUAL,2005-03-17,2006-07-25,INDUSTRY,1,0,0
NCT03824912,PHASE3,831,ACTUAL,2018-08-23,2019-01-24,INDUSTRY,1,9,3
NCT05759481,PHASE2,68,ACTUAL,2024-02-01,2025-03-12,OTHER,1,1,1
NCT05125081,PHASE2,120,ACTUAL,2022-01-25,2024-08-07,OTHER,3,6,1
NCT01543412,PHASE2,50,ACTUAL,2010-01,2011-06,OTHER,1,9,1
NCT00634712,PHASE3,734,ESTIMATED,1999-06,2003-05,INDUSTRY,1,0,0
NCT02228681,PHASE2,74,ACTUAL,2015-05-21,2018-01,NETWORK,1,26,1
NCT01371981,PHASE3,1645,ACTUAL,2011-07-06,2019-03-31,NIH,4,220,5
NCT02053519,PHASE3,72,ACTUAL,2014-02,2016-04,OTHER,1,8,1
NCT00415519,PHASE3,25,ACTUAL,2006-12,2008-07,INDUSTRY,1,0,0
NCT02666430,PHASE3,127,ACTUAL,2015-12,2017-03,INDUSTRY,1,81,8
NCT03410030,PHASE1|PHASE2,27,ACTUAL,2017-12-15,2021-09-14,OTHER,5,1,1
NCT00564330,PHASE1|PHASE2,30,ACTUAL,2007-11,2008-04,OTHER,1,0,0
NCT05315128,PHASE2,60,ACTUAL,2020-07-06,2021-08-10,OTHER_GOV,1,1,1
NCT05523765,PHASE2,26,ACTUAL,2022-11-14,2024-07-30,INDUSTRY,3,15,1
NCT02145767,PHASE2,850,ESTIMATED,2014-12,2021-02,OTHER,2,7,1
NCT01106742,PHASE2,20,ACTUAL,2009-03,2011-07,OTHER,1,1,1
NCT06051786,PHASE2,136,ACTUAL,2020-08-20,2021-07-20,INDUSTRY,1,5,1
NCT00170586,PHASE2,325,,2003-09,,NIH,1,1,1
NCT00503386,PHASE2,144,ACTUAL,2006-04,2006-10,INDUSTRY,3,6,1
NCT00404573,PHASE2,375,ESTIMATED,2006-11,2007-08,INDUSTRY,1,1,1
NCT03737669,PHASE3,2000,ACTUAL,2019-11-13,2025-09-29,OTHER,1,1,1
NCT07097441,PHASE1|PHASE2,100,ACTUAL,2025-03-12,2025-06-04,OTHER,5,1,1
NCT01320241,PHASE2,24,ACTUAL,2008-11,2012-03,OTHER,4,1,1
NCT00496054,PHASE3,110,ACTUAL,2008-05,2008-10,INDUSTRY,2,0,0
NCT02182505,PHASE3,535,ACTUAL,1998-09,1999-07,INDUSTRY,1,0,0
NCT00623194,PHASE3,146,ACTUAL,2008-02,2009-09,INDUSTRY,2,32,11
NCT05323656,PHASE2,55,ACTUAL,2022-04-06,2024-02-18,INDUSTRY,1,24,7
NCT00116922,PHASE3,207,ACTUAL,2004-06,2010-01,OTHER,2,2,1
NCT01027351,PHASE2,163,ACTUAL,2010-01,2010-09,INDUSTRY,1,1,1
NCT00552929,PHASE2,102,ACTUAL,2005-10-04,2006-09-15,INDUSTRY,1,0,0
NCT00174629,PHASE3,449,ACTUAL,2001-06,2007-01,INDUSTRY,1,3,3
NCT00001929,PHASE2,20,,1999-03,,NIH,2,1,1
NCT01455831,PHASE3,616,ACTUAL,2011-09,2020-12-31,OTHER,1,16,3
NCT01370031,PHASE2,16,ACTUAL,2011-04,2011-06,INDUSTRY,1,1,1
NCT00812331,PHASE2,37,ACTUAL,2009-03,2009-11,INDUSTRY,1,10,3
NCT00538902,PHASE2|PHASE3,302,ACTUAL,2007-08,2008-07,INDUSTRY,1,11,1
NCT00558753,PHASE2,240,ACTUAL,2006-04,2010-06,OTHER,1,0,0
NCT02771353,PHASE2,39,ACTUAL,2016-12-12,2019-01-15,OTHER,1,0,0
NCT00143637,PHASE1|PHASE2,24,ACTUAL,2005-05,2006-11,OTHER,2,1,1
NCT00221845,PHASE3,400,ACTUAL,1998-01,2007-07,OTHER,5,33,12
NCT04246372,PHASE2,47,ACTUAL,2020-10-21,2024-10-30,OTHER,6,1,1
NCT01657539,PHASE2|PHASE3,30,ACTUAL,2011-08,2012-08,OTHER,2,1,1
NCT02594839,PHASE1|PHASE2,20,ACTUAL,2013-02,2018-01,OTHER_GOV,3,1,1
NCT04914377,PHASE2,55,ACTUAL,2021-06-08,2021-12-16,INDUSTRY,1,3,1
NCT05041257,PHASE2,79,ACTUAL,2021-10-19,2024-12-12,INDUSTRY,3,35,7
NCT00540657,PHASE2,90,ESTIMATED,2007-10,2008-06,INDUSTRY,1,1,1
NCT00419601,PHASE3,24,ACTUAL,2006-11,2010-04,OTHER,1,1,1
NCT00306501,PHASE2,34,ACTUAL,2006-03-17,2009-12-16,NIH,2,1,1
NCT01288001,PHASE2,20,ACTUAL,2011-03,2011-12,INDUSTRY,1,1,1
NCT00993681,PHASE3,2036,ACTUAL,2009-10,2010-11,INDUSTRY,1,20,4
NCT00450112,PHASE3,202,ACTUAL,2007-03,2009-06,INDUSTRY,1,1,1
NCT00772928,PHASE3,1167,ACTUAL,2003-10,2006-05,INDUSTRY,5,23,1
NCT00659828,PHASE2,1,ACTUAL,2005-06,2010-04-16,OTHER,3,1,1
NCT03794765,PHASE2,50,ACTUAL,2019-04-01,2020-03-04,OTHER,3,1,1
NCT05842967,PHASE3,885,ACTUAL,2023-05-11,2024-03-18,INDUSTRY,1,36,1
NCT00477607,PHASE2|PHASE3,39,ACTUAL,2007-10,2011-03,FED,2,2,1
NCT01966042,PHASE2,13,ACTUAL,2005-07,2011-11,INDUSTRY,1,1,1
